title,nbre_entrees,id,distributeur,country,genre,date,budget,public,durée,Name1,Name2,year,month,week,season
Personal Shopper,54203,15868,Films du Losange,France,Thriller,2016-12-14,5915967,Tous publics,105,3,9,2016,12,50,4
Genius,45216,15878,Mars Distribution,Grande-Bretagne,Drame,2016-07-27,17000000,Tous publics,104,10,9,2016,7,30,3
L'Outsider,131568,15903,Le Pacte,France,Thriller,2016-06-22,8040000,Tous publics,117,4,3,2016,6,25,2
Ma vie de chat,141432,15909,EuropaCorp,Etats-Unis,Film familial,2016-03-08,30000000,Tous publics,87,7,2,2016,3,10,1
Dunkerque,925204,15911,Warner Bros.,Etats-Unis,Guerre,2017-07-19,150000000,Tous publics,106,10,7,2017,7,29,3
Florence Foster Jenkins,55876,15938,Pathé,Grande-Bretagne,Comédie dramatique,2016-07-13,19000000,Tous publics,110,7,12,2016,7,28,3
Sausage Party,39915,15944,Sony Pictures,Etats-Unis,Animation 3D,2016-11-30,19000000,Moins de 12 ans,89,7,6,2016,11,48,4
Comancheria,87138,15945,Wild Bunch,Etats-Unis,Western,2016-07-09,12000000,Tous publics,102,9,6,2016,7,27,3
Kubo et l'armure magique,142109,15946,Universal,Etats-Unis,Animation 3D,2016-09-21,60000000,Tous publics,101,3,3,2016,9,38,3
Une vie entre deux Océans,49226,15950,Metropolitan,Etats-Unis,Drame,2016-05-10,20000000,Tous publics,130,3,4,2016,5,19,2
Frantz,161533,16003,Mars Distribution,France,Drame,2016-07-09,9474971,Tous publics,113,10,4,2016,7,27,3
Kong: Skull Island,625572,16008,Warner Bros.,Etats-Unis,Aventure - Action,2017-08-03,190000000,Tous publics,118,2,14,2017,8,31,3
L'Odyssée,445363,16041,Wild Bunch,France,Aventure - Action,2016-12-10,20862762,Tous publics,122,1,4,2016,12,49,4
Mal de Pierres,283843,16042,Studiocanal,France,Drame,2016-10-19,10298270,Tous publics,116,1,12,2016,10,42,4
Premier Contact,300058,16044,Sony Pictures,Etats-Unis,Science Fiction,2016-07-12,47000000,Tous publics,116,4,8,2016,7,28,3
Alliés,463630,16045,Paramount,Etats-Unis,Thriller,2016-11-23,85000000,Tous publics,101,10,12,2016,11,47,4
Cézanne et moi,224092,16051,Pathé,France,Comédie dramatique,2016-09-21,11285042,Tous publics,116,2,6,2016,9,38,3
Snowden,48634,16054,Pathé,Etats-Unis,Thriller,2016-01-11,40000000,Tous publics,134,10,8,2016,1,2,1
La Tour sombre,193407,16060,Sony Pictures,Etats-Unis,Fantasy,2017-09-08,60000000,Tous publics,94,4,11,2017,9,36,3
Monster Cars,59952,16061,Paramount,Etats-Unis,Film familial,2016-12-21,125000000,Tous publics,104,4,3,2016,12,51,4
"Lego Batman, Le Film",346187,16062,Warner Bros.,Etats-Unis,Animation 3D,2017-08-02,80000000,Tous publics,104,3,3,2017,8,31,3
